,County_Name,2019_Median_AQI,2015_Median_AQI,2010_Median_AQI
763,"Noble County, Ohio",37.0,37.0,42.0
764,"Portage County, Ohio",37.0,36.0,40.0
765,"Preble County, Ohio",43.0,40.0,51.0
766,"Scioto County, Ohio",13.0,16.0,23.0
767,"Seneca County, Ohio",,,
768,"Stark County, Ohio",46.0,40.0,56.0
769,"Summit County, Ohio",42.0,52.0,58.0
770,"Trumbull County, Ohio",40.0,40.0,47.0
771,"Warren County, Ohio",43.0,42.0,55.0
772,"Washington County, Ohio",41.0,40.0,46.0
773,"Wood County, Ohio",38.0,41.0,44.0
774,"Wyandot County, Ohio",,,
775,"Adair County, Oklahoma",37.0,40.0,55.0
776,"Caddo County, Oklahoma",,31.0,40.0
777,"Canadian County, Oklahoma",37.0,37.0,37.0
778,"Carter County, Oklahoma",43.0,,29.0
779,"Cherokee County, Oklahoma",,37.0,40.0
780,"Cleveland County, Oklahoma",45.0,41.0,45.0
781,"Comanche County, Oklahoma",43.0,40.0,45.0
782,"Cotton County, Oklahoma",,39.0,
783,"Creek County, Oklahoma",36.0,36.0,38.0
784,"Custer County, Oklahoma",14.0,15.0,
785,"Dewey County, Oklahoma",42.0,40.0,42.0
786,"Ellis County, Oklahoma",,23.0,20.0
787,"Garfield County, Oklahoma",,,
788,"Johnston County, Oklahoma",40.0,41.0,
789,"Kay County, Oklahoma",40.0,43.0,43.0
790,"Lincoln County, Oklahoma",,39.0,33.0
791,"Mayes County, Oklahoma",35.0,38.0,42.0
792,"McClain County, Oklahoma",,36.0,37.0
793,"Muskogee County, Oklahoma",18.0,19.0,32.0
794,"Oklahoma County, Oklahoma",46.0,42.0,48.0
795,"Ottawa County, Oklahoma",38.0,40.0,44.0
796,"Pawnee County, Oklahoma",,,
797,"Payne County, Oklahoma",,,
798,"Pittsburg County, Oklahoma",43.0,38.0,45.0
799,"Seminole County, Oklahoma",,,
800,"Tulsa County, Oklahoma",44.0,45.0,54.0
801,"Clackamas County, Oregon",30.0,32.0,26.0
802,"Columbia County, Oregon",24.0,30.0,24.0
803,"Deschutes County, Oregon",20.0,33.0,30.0
804,"Harney County, Oregon",33.0,26.0,25.0
805,"Jackson County, Oregon",36.0,43.0,36.0
806,"Josephine County, Oregon",26.0,28.0,22.0
807,"Klamath County, Oregon",29.0,32.0,26.0
808,"Lake County, Oregon",19.0,21.0,21.0
809,"Lane County, Oregon",38.0,40.0,38.0
810,"Linn County, Oregon",28.0,23.0,26.0
811,"Marion County, Oregon",32.0,33.0,27.0
812,"Multnomah County, Oregon",34.0,35.0,32.0
813,"Umatilla County, Oregon",37.0,38.0,37.0
814,"Union County, Oregon",20.0,29.0,25.0
815,"Wallowa County, Oregon",22.0,19.0,20.0
816,"Wasco County, Oregon",23.0,20.0,19.0
817,"Washington County, Oregon",32.0,36.0,30.0
818,"Adams County, Pennsylvania",42.0,44.0,49.0
819,"Allegheny County, Pennsylvania",54.0,53.0,65.0
820,"Armstrong County, Pennsylvania",37.0,46.0,51.0
821,"Beaver County, Pennsylvania",45.0,46.0,49.0
822,"Berks County, Pennsylvania",42.0,47.0,45.0
823,"Blair County, Pennsylvania",41.0,44.0,33.0
824,"Bucks County, Pennsylvania",35.0,46.0,47.0
825,"Cambria County, Pennsylvania",39.0,47.0,52.0
826,"Centre County, Pennsylvania",44.0,42.0,45.0
827,"Chester County, Pennsylvania",43.0,48.0,52.0
828,"Clearfield County, Pennsylvania",33.0,38.0,45.0
829,"Cumberland County, Pennsylvania",38.0,45.0,54.0
830,"Dauphin County, Pennsylvania",41.0,50.0,47.0
831,"Delaware County, Pennsylvania",44.0,48.0,51.0
832,"Elk County, Pennsylvania",35.0,36.0,37.0
833,"Erie County, Pennsylvania",36.0,40.0,42.0
834,"Franklin County, Pennsylvania",36.0,34.0,45.0
835,"Greene County, Pennsylvania",35.0,37.0,45.0
836,"Lackawanna County, Pennsylvania",37.0,43.0,40.0
837,"Lancaster County, Pennsylvania",45.0,50.0,48.0
838,"Lawrence County, Pennsylvania",31.0,33.0,33.0
839,"Lehigh County, Pennsylvania",38.0,34.0,31.0
840,"Luzerne County, Pennsylvania",34.0,34.0,29.0
841,"Lycoming County, Pennsylvania",35.0,34.0,40.0
842,"Mercer County, Pennsylvania",41.0,45.0,47.0
843,"Montgomery County, Pennsylvania",35.0,42.0,45.0
844,"Northampton County, Pennsylvania",40.0,50.0,52.0
845,"Perry County, Pennsylvania",,,30.0
846,"Philadelphia County, Pennsylvania",44.0,51.0,52.0
847,"Schuylkill County, Pennsylvania",,,
848,"Somerset County, Pennsylvania",36.0,34.0,37.0
849,"Tioga County, Pennsylvania",36.0,40.0,44.0
850,"Washington County, Pennsylvania",44.0,50.0,54.0
851,"Westmoreland County, Pennsylvania",38.0,44.0,52.0
852,"York County, Pennsylvania",41.0,48.0,50.0
853,"Barceloneta County, Puerto Rico",,,
854,"Bayamon County, Puerto Rico",18.0,18.0,9.0
855,"Carolina County, Puerto Rico",,,
856,"Catano County, Puerto Rico",34.0,19.0,23.0
857,"Fajardo County, Puerto Rico",22.0,22.0,19.0
858,"Guayama County, Puerto Rico",29.0,20.0,18.0
859,"Guayanilla County, Puerto Rico",,20.0,
860,"Guaynabo County, Puerto Rico",20.0,25.0,25.0
861,"Humacao County, Puerto Rico",,,
862,"Lares County, Puerto Rico",,,
863,"Manati County, Puerto Rico",,,
864,"Mayagnez County, Puerto Rico",25.0,,
865,"Ponce County, Puerto Rico",35.0,23.0,24.0
866,"Rio Grande County, Puerto Rico",,,
867,"San Juan County, Puerto Rico",14.0,13.0,17.0
868,"Vieques County, Puerto Rico",,,
869,"Kent County, Rhode Island",32.0,37.0,35.0
870,"Providence County, Rhode Island",43.0,44.0,40.0
871,"Washington County, Rhode Island",36.0,38.0,43.0
872,"Abbeville County, South Carolina",,32.0,41.0
873,"Aiken County, South Carolina",37.0,38.0,39.0
874,"Anderson County, South Carolina",42.0,38.0,41.0
875,"Barnwell County, South Carolina",,,
876,"Beaufort County, South Carolina",,,
877,"Berkeley County, South Carolina",31.0,33.0,35.0
878,"Charleston County, South Carolina",33.0,35.0,44.0
879,"Cherokee County, South Carolina",,37.0,40.0
880,"Chester County, South Carolina",,,
881,"Chesterfield County, South Carolina",31.0,40.0,42.0
882,"Colleton County, South Carolina",20.0,33.0,36.0
883,"Darlington County, South Carolina",38.0,40.0,41.0
884,"Edgefield County, South Carolina",35.0,34.0,39.0
885,"Florence County, South Carolina",30.0,37.0,43.0
886,"Georgetown County, South Carolina",14.0,15.0,22.0
887,"Greenville County, South Carolina",37.0,44.0,51.0
888,"Greenwood County, South Carolina",,,
889,"Horry County, South Carolina",35.0,,41.0
890,"Lexington County, South Carolina",33.0,35.0,46.0
891,"Oconee County, South Carolina",31.0,37.0,40.0
892,"Orangeburg County, South Carolina",,,
893,"Pickens County, South Carolina",44.0,39.0,41.0
894,"Richland County, South Carolina",34.0,40.0,47.0
895,"Spartanburg County, South Carolina",37.0,42.0,51.0
896,"Union County, South Carolina",,,
897,"Williamsburg County, South Carolina",,,
898,"York County, South Carolina",42.0,33.0,35.0
899,"Brookings County, South Dakota",42.0,36.0,37.0
900,"Brown County, South Dakota",20.0,24.0,30.0
901,"Codington County, South Dakota",25.0,27.0,21.0
902,"Custer County, South Dakota",39.0,39.0,40.0
903,"Jackson County, South Dakota",38.0,38.0,37.0
904,"Meade County, South Dakota",36.0,38.0,37.0
905,"Minnehaha County, South Dakota",36.0,38.0,41.0
906,"Pennington County, South Dakota",30.0,40.0,28.0
907,"Anderson County, Tennessee",44.0,39.0,44.0
908,"Blount County, Tennessee",41.0,40.0,47.0
909,"Bradley County, Tennessee",,,16.0
910,"Claiborne County, Tennessee",35.0,35.0,37.0
911,"Davidson County, Tennessee",45.0,45.0,50.0
912,"DeKalb County, Tennessee",37.0,35.0,38.0
913,"Dyer County, Tennessee",26.0,31.0,
914,"Hamilton County, Tennessee",45.0,41.0,49.0
915,"Haywood County, Tennessee",,,
916,"Humphreys County, Tennessee",,,
917,"Jefferson County, Tennessee",44.0,44.0,46.0
918,"Knox County, Tennessee",42.0,43.0,44.0
919,"Lawrence County, Tennessee",27.0,30.0,46.0
920,"Loudon County, Tennessee",37.0,40.0,45.0
921,"Madison County, Tennessee",27.0,32.0,15.0
922,"Maury County, Tennessee",23.0,29.0,
923,"McMinn County, Tennessee",30.0,32.0,18.0
924,"Meigs County, Tennessee",,,46.0
925,"Montgomery County, Tennessee",26.0,33.0,48.0
926,"Obion County, Tennessee",,,
927,"Putnam County, Tennessee",25.0,28.0,
928,"Roane County, Tennessee",28.0,39.0,51.0
929,"Rutherford County, Tennessee",,,45.0
930,"Sevier County, Tennessee",44.0,43.0,50.0
931,"Shelby County, Tennessee",44.0,42.0,53.0
932,"Sullivan County, Tennessee",41.0,38.0,40.0
933,"Sumner County, Tennessee",40.0,40.0,49.0
934,"Union County, Tennessee",,19.0,23.0
935,"Williamson County, Tennessee",42.0,36.0,45.0
936,"Wilson County, Tennessee",40.0,38.0,46.0
937,"Bexar County, Texas",49.0,46.0,44.0
938,"Bowie County, Texas",39.0,38.0,48.0
939,"Brazoria County, Texas",33.0,33.0,36.0
940,"Brewster County, Texas",40.0,41.0,44.0
941,"Caldwell County, Texas",,,
942,"Cameron County, Texas",44.0,42.0,42.0
943,"Collin County, Texas",40.0,36.0,38.0
944,"Culberson County, Texas",34.0,15.0,14.0
945,"Dallas County, Texas",45.0,44.0,48.0
946,"Denton County, Texas",43.0,43.0,44.0
947,"Ector County, Texas",28.0,30.0,31.0
948,"El Paso County, Texas",53.0,50.0,54.0
949,"Ellis County, Texas",40.0,40.0,43.0
950,"Galveston County, Texas",39.0,39.0,39.0
951,"Gregg County, Texas",35.0,33.0,37.0
952,"Harris County, Texas",51.0,53.0,55.0
953,"Harrison County, Texas",38.0,37.0,44.0
954,"Hays County, Texas",,,34.0
955,"Hidalgo County, Texas",42.0,39.0,40.0
956,"Hood County, Texas",35.0,34.0,35.0
957,"Hunt County, Texas",35.0,33.0,36.0
958,"Jeff Davis County, Texas",,,16.0
959,"Jefferson County, Texas",43.0,42.0,48.0
960,"Johnson County, Texas",38.0,35.0,36.0
961,"Kaufman County, Texas",39.0,37.0,42.0
962,"Kleberg County, Texas",30.0,33.0,35.0
963,"Lubbock County, Texas",25.0,,26.0
964,"McLennan County, Texas",38.0,38.0,38.0
965,"Montgomery County, Texas",38.0,42.0,45.0
966,"Nueces County, Texas",42.0,41.0,42.0
967,"Orange County, Texas",38.0,37.0,44.0
968,"Parker County, Texas",37.0,37.0,38.0
969,"Potter County, Texas",19.0,22.0,23.0
970,"Rockwall County, Texas",34.0,36.0,37.0
971,"Smith County, Texas",36.0,33.0,38.0
972,"Tarrant County, Texas",44.0,43.0,47.0
973,"Travis County, Texas",44.0,44.0,42.0
974,"Victoria County, Texas",31.0,32.0,32.0
975,"Webb County, Texas",41.0,39.0,40.0
976,"Box Elder County, Utah",40.0,45.0,45.0
977,"Cache County, Utah",44.0,40.0,49.0
978,"Davis County, Utah",44.0,38.0,40.0
979,"Duchesne County, Utah",48.0,44.0,
980,"Garfield County, Utah",41.0,42.0,8.0
981,"Grand County, Utah",,,
982,"Salt Lake County, Utah",51.0,51.0,49.0
983,"San Juan County, Utah",44.0,43.0,47.0
984,"Tooele County, Utah",43.0,29.0,47.0
985,"Uintah County, Utah",49.0,46.0,54.0
986,"Utah County, Utah",46.0,46.0,49.0
987,"Washington County, Utah",44.0,43.0,48.0
988,"Wayne County, Utah",9.0,8.0,9.0
989,"Weber County, Utah",42.0,46.0,49.0
990,"Addison County, Vermont",,,
991,"Bennington County, Vermont",35.0,37.0,36.0
992,"Chittenden County, Vermont",37.0,36.0,37.0
993,"Rutland County, Vermont",36.0,30.0,30.0
994,"Windham County, Vermont",8.0,13.0,
995,"St Croix County, Virgin Islands",20.0,51.0,52.0
996,"St John County, Virgin Islands",15.0,24.0,20.0
997,"St Thomas County, Virgin Islands",28.0,,
998,"Alexandria City County, Virginia",5.0,23.0,42.0
999,"Arlington County, Virginia",38.0,38.0,42.0
1000,"Bristol City County, Virginia",26.0,30.0,45.0
1001,"Caroline County, Virginia",39.0,40.0,46.0
1002,"Carroll County, Virginia",9.0,10.0,13.0
1003,"Charles County, Virginia",34.0,32.0,40.0
1004,"Charlottesville City County, Virginia",,,
1005,"Chesapeake City County, Virginia",,,
1006,"Chesterfield County, Virginia",39.0,39.0,45.0
1007,"Culpeper County, Virginia",,,14.0
1008,"Fairfax County, Virginia",44.0,40.0,45.0
1009,"Fauquier County, Virginia",37.0,36.0,43.0
1010,"Frederick County, Virginia",38.0,39.0,44.0
1011,"Fredericksburg City County, Virginia",,11.0,15.0
1012,"Giles County, Virginia",40.0,39.0,43.0
1013,"Hampton City County, Virginia",39.0,37.0,44.0
1014,"Hanover County, Virginia",41.0,40.0,49.0
1015,"Henrico County, Virginia",37.0,39.0,45.0
1016,"King William County, Virginia",,12.0,13.0
1017,"Loudoun County, Virginia",37.0,36.0,41.0
1018,"Lynchburg City County, Virginia",26.0,30.0,36.0
1019,"Madison County, Virginia",41.0,43.0,43.0
1020,"Newport News City County, Virginia",,,18.0
1021,"Norfolk City County, Virginia",18.0,20.0,39.0
1022,"Northumberland County, Virginia",,,
1023,"Page County, Virginia",,42.0,46.0
1024,"Prince Edward County, Virginia",35.0,34.0,39.0
1025,"Prince William County, Virginia",36.0,30.0,31.0
1026,"Richmond City County, Virginia",33.0,39.0,22.0
1027,"Roanoke County, Virginia",37.0,38.0,37.0
1028,"Roanoke City County, Virginia",,,39.0
1029,"Rockbridge County, Virginia",38.0,37.0,44.0
1030,"Rockingham County, Virginia",36.0,36.0,41.0
1031,"Salem City County, Virginia",26.0,32.0,41.0
1032,"Stafford County, Virginia",39.0,40.0,46.0
1033,"Suffolk City County, Virginia",41.0,40.0,47.0
1034,"Virginia Beach City County, Virginia",25.0,30.0,36.0
1035,"Warren County, Virginia",,,15.0
1036,"Winchester City County, Virginia",8.0,11.0,14.0
1037,"Wythe County, Virginia",41.0,38.0,44.0
1038,"Adams County, Washington",13.0,20.0,18.0
1039,"Asotin County, Washington",27.0,27.0,25.0
1040,"Benton County, Washington",37.0,30.0,20.0
1041,"Chelan County, Washington",24.0,25.0,22.0
1042,"Clallam County, Washington",34.0,38.0,36.0
1043,"Clark County, Washington",31.0,33.0,28.0
1044,"Columbia County, Washington",17.0,14.0,18.0
1045,"Cowlitz County, Washington",18.0,20.0,16.0
1046,"Franklin County, Washington",16.0,20.0,20.0
1047,"Grant County, Washington",18.0,23.0,20.0
1048,"Grays Harbor County, Washington",20.0,22.0,16.0
1049,"Jefferson County, Washington",19.0,20.0,18.0
1050,"King County, Washington",40.0,45.0,36.0
1051,"Kitsap County, Washington",18.0,18.0,18.0
1052,"Kittitas County, Washington",23.0,21.0,20.0
1053,"Klickitat County, Washington",20.0,16.0,17.0
1054,"Lewis County, Washington",20.0,23.0,19.0
1055,"Mason County, Washington",21.0,22.0,21.0
1056,"Okanogan County, Washington",31.0,41.0,28.0
1057,"Pierce County, Washington",41.0,41.0,40.0
1058,"Skagit County, Washington",24.0,35.0,29.0
1059,"Skamania County, Washington",,,
1060,"Snohomish County, Washington",30.0,28.0,27.0
1061,"Spokane County, Washington",37.0,42.0,38.0
1062,"Stevens County, Washington",28.0,28.0,31.0
1063,"Thurston County, Washington",30.0,31.0,25.0
1064,"Walla Walla County, Washington",21.0,19.0,23.0
1065,"Whatcom County, Washington",26.0,30.0,27.0
1066,"Whitman County, Washington",18.0,20.0,18.0
1067,"Yakima County, Washington",38.0,36.0,25.0
1068,"Berkeley County, West Virginia",40.0,44.0,48.0
1069,"Brooke County, West Virginia",19.0,17.0,20.0
1070,"Cabell County, West Virginia",39.0,42.0,47.0
1071,"Gilmer County, West Virginia",32.0,31.0,32.0
1072,"Greenbrier County, West Virginia",42.0,38.0,44.0
1073,"Hancock County, West Virginia",40.0,33.0,41.0
1074,"Harrison County, West Virginia",31.0,35.0,49.0
1075,"Kanawha County, West Virginia",40.0,33.0,41.0
1076,"Marion County, West Virginia",31.0,37.0,52.0
1077,"Marshall County, West Virginia",34.0,39.0,53.0
1078,"Mercer County, West Virginia",,,
1079,"Monongalia County, West Virginia",40.0,41.0,47.0
1080,"Ohio County, West Virginia",41.0,43.0,49.0
1081,"Raleigh County, West Virginia",,24.0,41.0
1082,"Summers County, West Virginia",,,
1083,"Tucker County, West Virginia",35.0,36.0,38.0
1084,"Wayne County, West Virginia",,,
1085,"Wood County, West Virginia",39.0,42.0,48.0
1086,"Ashland County, Wisconsin",34.0,33.0,34.0
1087,"Brown County, Wisconsin",35.0,38.0,40.0
1088,"Columbia County, Wisconsin",37.0,40.0,40.0
1089,"Dane County, Wisconsin",38.0,40.0,48.0
1090,"Dodge County, Wisconsin",40.0,38.0,42.0
1091,"Door County, Wisconsin",35.0,39.0,37.0
1092,"Douglas County, Wisconsin",,,
1093,"Eau Claire County, Wisconsin",34.0,33.0,30.0
1094,"Florence County, Wisconsin",,,34.0
1095,"Fond du Lac County, Wisconsin",36.0,40.0,39.0
1096,"Forest County, Wisconsin",35.0,34.0,36.0
1097,"Grant County, Wisconsin",29.0,29.0,37.0
1098,"Green County, Wisconsin",,,
1099,"Jefferson County, Wisconsin",37.0,40.0,41.0
1100,"Kenosha County, Wisconsin",40.0,41.0,44.0
1101,"Kewaunee County, Wisconsin",36.0,40.0,39.0
1102,"Manitowoc County, Wisconsin",36.0,38.0,36.0
1103,"Marathon County, Wisconsin",34.0,36.0,38.0
1104,"Milwaukee County, Wisconsin",42.0,41.0,43.0
1105,"Oneida County, Wisconsin",,,36.0
1106,"Outagamie County, Wisconsin",36.0,38.0,38.0
1107,"Ozaukee County, Wisconsin",37.0,36.0,40.0
1108,"Racine County, Wisconsin",39.0,39.0,42.0
1109,"Rock County, Wisconsin",38.0,41.0,41.0
1110,"Sauk County, Wisconsin",35.0,36.0,38.0
1111,"Sheboygan County, Wisconsin",38.0,40.0,41.0
1112,"St. Croix County, Wisconsin",,,40.0
1113,"Taylor County, Wisconsin",35.0,34.0,36.0
1114,"Vernon County, Wisconsin",,,39.0
1115,"Vilas County, Wisconsin",29.0,33.0,36.0
1116,"Walworth County, Wisconsin",37.0,40.0,41.0
1117,"Washington County, Wisconsin",,,39.0
1118,"Waukesha County, Wisconsin",40.0,40.0,39.0
1119,"Winnebago County, Wisconsin",,,
1120,"Wood County, Wisconsin",,,
1121,"Albany County, Wyoming",47.0,45.0,48.0
1122,"Campbell County, Wyoming",40.0,44.0,45.0
1123,"Carbon County, Wyoming",43.0,42.0,45.0
1124,"Converse County, Wyoming",41.0,43.0,23.0
1125,"Fremont County, Wyoming",45.0,45.0,48.0
1126,"Johnson County, Wyoming",40.0,6.0,6.0
1127,"Laramie County, Wyoming",43.0,42.0,19.0
1128,"Lincoln County, Wyoming",12.0,13.0,17.0
1129,"Natrona County, Wyoming",42.0,41.0,17.0
1130,"Park County, Wyoming",38.0,15.0,16.0
1131,"Platte County, Wyoming",14.0,14.0,12.0
1132,"Sheridan County, Wyoming",39.0,38.0,21.0
1133,"Sublette County, Wyoming",46.0,44.0,47.0
1134,"Sweetwater County, Wyoming",46.0,44.0,45.0
1135,"Teton County, Wyoming",43.0,42.0,44.0
